title,price,star_rating,availability,category,price_gbp,price_inr,rating,in_stock
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,Five,In stock,Sequential Art,52.29,5516.595,5,True
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),£16.28,One,In stock,Sequential Art,16.28,1717.5400000000002,1,True
This One Summer,£19.49,Four,In stock,Sequential Art,19.49,2056.1949999999997,4,True
The Nameless City (The Nameless City #1),£38.16,Four,In stock,Sequential Art,38.16,4025.8799999999997,4,True
"Saga, Volume 5 (Saga (Collected Editions) #5)",£51.04,Two,In stock,Sequential Art,51.04,5384.72,2,True
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",£50.40,Three,In stock,Sequential Art,50.4,5317.2,3,True
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",£13.61,Five,In stock,Sequential Art,13.61,1435.855,5,True
"Pop Gun War, Volume 1: Gift",£18.97,One,In stock,Sequential Art,18.97,2001.3349999999998,1,True
Patience,£10.16,Three,In stock,Sequential Art,10.16,1071.88,3,True
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",£15.44,Four,In stock,Sequential Art,15.44,1628.9199999999998,4,True
orange: The Complete Collection 1 (orange: The Complete Collection #1),£48.41,One,In stock,Sequential Art,48.41,5107.254999999999,1,True
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",£46.91,Two,In stock,Sequential Art,46.91,4949.004999999999,2,True
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",£45.61,Three,In stock,Sequential Art,45.61,4811.855,3,True
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),£19.92,Two,In stock,Sequential Art,19.92,2101.5600000000004,2,True
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",£29.17,Two,In stock,Sequential Art,29.17,3077.4350000000004,2,True
I am a Hero Omnibus Volume 1,£54.63,Three,In stock,Sequential Art,54.63,5763.465,3,True
"Giant Days, Vol. 2 (Giant Days #5-8)",£22.11,Two,In stock,Sequential Art,22.11,2332.605,2,True
Danganronpa Volume 1,£51.99,Four,In stock,Sequential Art,51.99,5484.945000000001,4,True
